pos	5pG>A
1	0.400703463203463
2	0.25290754977331
3	0.182639285035178
4	0.139889984825493
5	0.107480653482373
6	0.0902677104474727
7	0.0699981457444836
8	0.0577703949796973
9	0.0467846820809249
10	0.0398076409297355
11	0.0351934328879574
12	0.0314112831464673
13	0.0298066595059076
14	0.0273911491791577
15	0.0232681121099947
16	0.0241605969088648
17	0.0219022687609075
18	0.0214146081393282
19	0.018946436476317
20	0.0211336103987974
21	0.017115551694179
22	0.0184618076822119
23	0.0189640035118525
24	0.018322762508809
25	0.0167749868259266
