pos	5pC>T
1	0.409497406546235
2	0.263559073585459
3	0.183920176532668
4	0.139668002289639
5	0.10900252407217
6	0.0876539673446004
7	0.0692471920542096
8	0.0604032997250229
9	0.0446388715293277
10	0.0406670828502631
11	0.0351091703056769
12	0.0338045482483098
13	0.0298769771528998
14	0.0270078809882228
15	0.0237496749588281
16	0.0240468695348024
17	0.0225332277088284
18	0.0213174908264896
19	0.0185928770949721
20	0.0201215857522048
21	0.0177156971297164
22	0.0179682706635113
23	0.0165688643424232
24	0.019001554672655
25	0.0165289256198347
