# table produced by mapDamage version 2.0.0
# using mapped file SLFeld1.hg19.bam and /home/bio/database/hg19/hg19_all.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	17	1
+	18	2
+	19	1
+	20	2
+	21	3
+	22	4
+	24	1
+	25	2
+	26	48
+	27	54
+	28	84
+	29	140
+	30	152
+	31	215
+	32	310
+	33	435
+	34	507
+	35	659
+	36	879
+	37	990
+	38	1148
+	39	1202
+	40	1206
+	41	1279
+	42	1402
+	43	1358
+	44	1361
+	45	1421
+	46	1440
+	47	1377
+	48	1501
+	49	1487
+	50	1272
+	51	1178
+	52	1131
+	53	1052
+	54	1027
+	55	974
+	56	881
+	57	853
+	58	811
+	59	753
+	60	707
+	61	719
+	62	655
+	63	602
+	64	557
+	65	549
+	66	509
+	67	509
+	68	441
+	69	418
+	70	389
+	71	419
+	72	385
+	73	345
+	74	321
+	75	274
+	76	273
+	77	243
+	78	223
+	79	251
+	80	223
+	81	248
+	82	201
+	83	204
+	84	193
+	85	173
+	86	187
+	87	7
+	88	2
-	19	1
-	26	4
-	27	12
-	28	17
-	29	15
-	30	22
-	31	31
-	32	33
-	33	55
-	34	90
-	35	69
-	36	95
-	37	101
-	38	118
-	39	113
-	40	103
-	41	115
-	42	113
-	43	109
-	44	109
-	45	111
-	46	128
-	47	99
-	48	109
-	49	127
-	50	70
-	51	66
-	52	64
-	53	68
-	54	57
-	55	62
-	56	39
-	57	54
-	58	40
-	59	48
-	60	40
-	61	51
-	62	32
-	63	39
-	64	30
-	65	31
-	66	31
-	67	36
-	68	18
-	69	21
-	70	17
-	71	26
-	72	24
-	73	13
-	74	22
-	75	9
-	76	15
-	77	14
-	78	12
-	79	17
-	80	7
-	81	11
-	82	16
-	83	13
-	84	9
-	85	5
-	86	11
-	87	1
