pos	5pG>A
1	0.427878841791576
2	0.255243726596181
3	0.171017046802454
4	0.124243487703778
5	0.0931034709959676
6	0.0723101313961389
7	0.0560028047274074
8	0.0455976469067167
9	0.0374481227680726
10	0.0316393000670842
11	0.0276973506205936
12	0.0242988189643806
13	0.0223762171704367
14	0.0207134744932091
15	0.0187198682298944
16	0.017105526882798
17	0.0174401620953056
18	0.0163555505375535
19	0.0152311955833897
20	0.0151303867063919
21	0.0143338644441721
22	0.0143452234016292
23	0.0134842852314971
24	0.0133842915422206
25	0.0127913279132791
