# table produced by mapDamage version 2.0.0
# using mapped file SLMez1.hg19.bam and /home/bio/database/hg19/hg19_all.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	17	4
+	18	2
+	19	3
+	20	4
+	21	3
+	22	4
+	23	7
+	24	4
+	25	7
+	26	5514
+	27	8237
+	28	11538
+	29	15526
+	30	18848
+	31	23540
+	32	28756
+	33	32904
+	34	37138
+	35	41153
+	36	44032
+	37	46307
+	38	46388
+	39	46463
+	40	45015
+	41	43683
+	42	41730
+	43	40189
+	44	38168
+	45	36141
+	46	35541
+	47	33311
+	48	33998
+	49	32638
+	50	28045
+	51	26376
+	52	24633
+	53	23040
+	54	21529
+	55	20055
+	56	18789
+	57	17861
+	58	16255
+	59	15032
+	60	13724
+	61	12700
+	62	11696
+	63	11043
+	64	10161
+	65	9502
+	66	8832
+	67	8194
+	68	7428
+	69	6960
+	70	6562
+	71	5961
+	72	5424
+	73	4989
+	74	4684
+	75	4312
+	76	3984
+	77	3632
+	78	3310
+	79	3054
+	80	2876
+	81	2691
+	82	2515
+	83	2263
+	84	1991
+	85	2002
+	86	1795
+	87	49
+	88	27
+	89	4
+	90	4
+	91	2
+	92	1
+	94	1
-	23	1
-	25	3
-	26	779
-	27	1197
-	28	1603
-	29	2059
-	30	2370
-	31	2938
-	32	3425
-	33	3914
-	34	4082
-	35	4160
-	36	4397
-	37	4418
-	38	4226
-	39	3992
-	40	3801
-	41	3522
-	42	3276
-	43	3014
-	44	2865
-	45	2567
-	46	2471
-	47	2223
-	48	2235
-	49	2191
-	50	1635
-	51	1526
-	52	1400
-	53	1282
-	54	1235
-	55	1041
-	56	974
-	57	916
-	58	827
-	59	754
-	60	733
-	61	610
-	62	578
-	63	497
-	64	462
-	65	421
-	66	383
-	67	350
-	68	322
-	69	291
-	70	286
-	71	237
-	72	235
-	73	199
-	74	224
-	75	150
-	76	154
-	77	135
-	78	170
-	79	130
-	80	136
-	81	102
-	82	107
-	83	120
-	84	106
-	85	107
-	86	80
-	87	11
-	88	1
-	89	2
