pos	5pC>T
1	0.560165327926382
2	0.320612787817631
3	0.201944719546232
4	0.145530507441901
5	0.108729472774417
6	0.0790087987071287
7	0.0585455500131268
8	0.0507728175459805
9	0.0374622862889708
10	0.0332063597217622
11	0.0272452891752998
12	0.023144996596324
13	0.0230480167014614
14	0.0200707411367936
15	0.0192796783985561
16	0.0178380600082203
17	0.0197048465537481
18	0.0165727265079499
19	0.0179167684664875
20	0.016698043709585
21	0.0166202718192238
22	0.0151100041511
23	0.0144772559019495
24	0.0145675518188629
25	0.0155006971212991
