# table produced by mapDamage version 2.0.0
# using mapped file SLSid1253.hg19.bam and /home/bio/database/hg19/hg19_all.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	17	1
+	18	6
+	19	5
+	20	1
+	21	3
+	22	2
+	24	3
+	26	341
+	27	405
+	28	523
+	29	681
+	30	749
+	31	825
+	32	1025
+	33	1118
+	34	1239
+	35	1273
+	36	1410
+	37	1565
+	38	1570
+	39	1587
+	40	1521
+	41	1549
+	42	1530
+	43	1490
+	44	1419
+	45	1322
+	46	1285
+	47	1192
+	48	1277
+	49	1312
+	50	1078
+	51	1017
+	52	954
+	53	871
+	54	804
+	55	771
+	56	755
+	57	724
+	58	675
+	59	605
+	60	569
+	61	536
+	62	517
+	63	518
+	64	495
+	65	419
+	66	401
+	67	410
+	68	381
+	69	344
+	70	301
+	71	305
+	72	302
+	73	239
+	74	257
+	75	252
+	76	227
+	77	212
+	78	189
+	79	188
+	80	182
+	81	165
+	82	152
+	83	162
+	84	119
+	85	111
+	86	116
+	87	2
+	88	1
-	25	2
-	26	31
-	27	44
-	28	63
-	29	70
-	30	79
-	31	83
-	32	89
-	33	125
-	34	114
-	35	145
-	36	127
-	37	150
-	38	137
-	39	114
-	40	117
-	41	122
-	42	116
-	43	103
-	44	77
-	45	104
-	46	87
-	47	80
-	48	93
-	49	87
-	50	64
-	51	49
-	52	45
-	53	48
-	54	36
-	55	38
-	56	42
-	57	45
-	58	39
-	59	31
-	60	36
-	61	22
-	62	34
-	63	27
-	64	26
-	65	16
-	66	24
-	67	9
-	68	19
-	69	15
-	70	16
-	71	11
-	72	14
-	73	8
-	74	9
-	75	11
-	76	10
-	77	7
-	78	6
-	79	8
-	80	8
-	81	8
-	82	7
-	83	8
-	84	8
-	85	3
-	86	2
-	88	1
