# table produced by mapDamage version 2.0.0
# using mapped file SLVi33.16.hg19.bam and /home/bio/database/hg19/hg19_all.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	17	11
+	18	16
+	19	13
+	20	19
+	21	32
+	22	37
+	23	59
+	24	73
+	25	90
+	26	117784
+	27	188784
+	28	274943
+	29	371583
+	30	463363
+	31	578713
+	32	698340
+	33	802274
+	34	898540
+	35	980775
+	36	1062530
+	37	1110647
+	38	1139863
+	39	1145213
+	40	1113277
+	41	1084412
+	42	1028284
+	43	990483
+	44	940584
+	45	901810
+	46	888228
+	47	840554
+	48	844250
+	49	833713
+	50	723866
+	51	678303
+	52	627109
+	53	581779
+	54	541114
+	55	508508
+	56	481001
+	57	459933
+	58	430110
+	59	403875
+	60	382834
+	61	357765
+	62	331242
+	63	308225
+	64	286290
+	65	268502
+	66	254157
+	67	241930
+	68	225712
+	69	213103
+	70	201934
+	71	188593
+	72	171506
+	73	161990
+	74	149975
+	75	137338
+	76	130136
+	77	122928
+	78	111659
+	79	106042
+	80	101316
+	81	95504
+	82	89062
+	83	82274
+	84	75935
+	85	71786
+	86	67444
+	87	21166
+	88	18938
+	89	17415
+	90	16935
+	91	15891
+	92	15122
+	93	13910
+	94	12440
+	95	11645
+	96	10699
+	97	10298
+	98	9680
+	99	9050
+	100	8760
+	101	8353
+	102	7678
+	103	7408
+	104	6927
+	105	6423
+	106	5912
+	107	5820
+	108	5328
+	109	5142
+	110	4877
+	111	4667
+	112	4394
+	113	4172
+	114	3951
+	115	3667
+	116	3382
+	117	3198
+	118	2996
+	119	2787
+	120	2752
+	121	2700
+	122	2686
+	123	2502
+	124	2388
+	125	2191
+	126	2044
+	127	2013
+	128	1840
+	129	1621
+	130	1604
+	131	1573
+	132	1600
+	133	1478
+	134	1444
+	135	1337
+	136	1168
+	137	95
+	138	37
+	139	12
+	140	5
+	142	5
+	143	2
+	144	8
+	145	2
+	147	1
+	148	1
+	150	3
+	151	1
+	152	1
-	17	1
-	18	1
-	19	2
-	20	4
-	21	14
-	22	19
-	23	23
-	24	53
-	25	90
-	26	21125
-	27	32240
-	28	45081
-	29	57194
-	30	67084
-	31	81238
-	32	93759
-	33	101604
-	34	107363
-	35	110651
-	36	118833
-	37	117173
-	38	114819
-	39	113156
-	40	103370
-	41	99563
-	42	91828
-	43	85436
-	44	77833
-	45	73130
-	46	70545
-	47	63655
-	48	63726
-	49	62787
-	50	48185
-	51	44355
-	52	40453
-	53	36664
-	54	33001
-	55	30762
-	56	28272
-	57	26666
-	58	24471
-	59	22397
-	60	21007
-	61	19028
-	62	17374
-	63	16333
-	64	14731
-	65	13366
-	66	12575
-	67	11935
-	68	11010
-	69	9922
-	70	9555
-	71	8760
-	72	7750
-	73	7487
-	74	6844
-	75	6030
-	76	5603
-	77	5463
-	78	4778
-	79	4293
-	80	4253
-	81	3978
-	82	3779
-	83	3653
-	84	3221
-	85	3132
-	86	3019
-	87	1020
-	88	768
-	89	688
-	90	723
-	91	663
-	92	600
-	93	540
-	94	494
-	95	444
-	96	444
-	97	374
-	98	345
-	99	333
-	100	325
-	101	311
-	102	277
-	103	237
-	104	232
-	105	217
-	106	189
-	107	219
-	108	159
-	109	172
-	110	161
-	111	164
-	112	171
-	113	117
-	114	128
-	115	124
-	116	117
-	117	112
-	118	96
-	119	96
-	120	96
-	121	91
-	122	101
-	123	82
-	124	76
-	125	59
-	126	92
-	127	59
-	128	71
-	129	57
-	130	67
-	131	49
-	132	62
-	133	50
-	134	54
-	135	40
-	136	54
-	137	5
-	138	4
-	139	1
-	140	2
-	142	1
