pos	5pC>T
1	0.391262357073609
2	0.222771745841677
3	0.113218628298739
4	0.0768180282292113
5	0.05706780766892
6	0.0457105115244321
7	0.0362231678227406
8	0.0309634991003015
9	0.0263174993115867
10	0.0239581445261525
11	0.0218139308104741
12	0.0206224254195241
13	0.0196234840951163
14	0.0188410751900712
15	0.0179107419381312
16	0.0172277123970909
17	0.0171998096918484
18	0.0169342757890119
19	0.0163501568928814
20	0.0156656282314509
21	0.0151960039154621
22	0.0145364308280988
23	0.0139665068826984
24	0.0135269741653952
25	0.0130410345974346
