pos	5pG>A
1	0.387963734780526
2	0.237493025786337
3	0.138476771232791
4	0.102071789138177
5	0.077516387736433
6	0.0626899462157951
7	0.0506803468088112
8	0.0426375251689835
9	0.0364146620942285
10	0.0322704698228306
11	0.0289031107122256
12	0.0264710093218305
13	0.0243556120537465
14	0.0228088995635651
15	0.0211048881106519
16	0.0197161278070796
17	0.0196730525409124
18	0.0187552168756453
19	0.0178855985779547
20	0.0171230992521685
21	0.0164054586807697
22	0.0156582795315938
23	0.0151917230763678
24	0.0143900867668374
25	0.0139063402883429
