pos	5pC>T
1	0.0260037936040235
2	0.0400104261696859
3	0.0447980622263672
4	0.0383829583177147
5	0.0393463721817471
6	0.0300373781357173
7	0.00830308515332365
8	0.00941705891151656
9	0.00518338200870858
10	0.00503191043824502
11	0.00457298117336915
12	0.00346308267063511
13	0.00307287229923333
14	0.00293668615241893
15	0.00276501356537042
16	0.00274654614932393
17	0.00266691022011143
18	0.00268895348837209
19	0.00267780860461114
20	0.00259881997895619
21	0.00252027208098595
22	0.00236661772641899
23	0.00210811851174652
24	0.00238295989331994
25	0.00235177101839175
