# table produced by mapDamage version 2.0.0
# using mapped file pang135.merge.rmdup.sort.rmdup.realigned.baq.bam and /home/bio/database/GRCh37/hs37d5.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	20	87
+	21	256
+	22	236
+	23	194
+	24	120
+	25	55
+	26	119
+	27	74
+	28	50
+	29	29
+	30	39
+	31	29
+	32	36
+	33	33
+	34	25
+	35	27
+	36	15
+	37	20
+	38	11
+	39	19
+	40	13
+	41	21
+	42	25
+	43	23
+	44	18
+	45	29
+	46	22
+	47	21
+	48	31
+	49	19
+	50	18
+	51	29
+	52	25
+	53	26
+	54	27
+	55	28
+	56	23
+	57	14
+	58	23
+	59	30
+	60	23
+	61	20
+	62	25
+	63	24
+	64	21
+	65	23
+	66	33
+	67	20
+	68	26
+	69	27
+	70	40
+	71	20
+	72	21
+	73	35
+	74	36
+	75	36
+	76	47
+	77	27
+	78	43
+	79	46
+	80	47
+	81	35
+	82	51
+	83	42
+	84	51
+	85	47
+	86	50
+	87	48
+	88	49
+	89	54
+	90	81
+	91	79
+	92	76
+	93	81
+	94	75
+	95	86
+	96	102
+	97	137
+	98	180
+	99	236
+	100	415
+	101	669
+	102	1991
+	103	621
+	104	271
+	105	244
+	106	197
+	107	216
+	108	191
+	109	204
+	110	169
+	111	225
+	112	222
+	113	225
+	114	265
+	115	286
+	116	331
+	117	354
+	118	386
+	119	413
+	120	460
+	121	408
+	122	514
+	123	531
+	124	605
+	125	612
+	126	582
+	127	670
+	128	707
+	129	699
+	130	764
+	131	790
+	132	856
+	133	824
+	134	945
+	135	959
+	136	973
+	137	987
+	138	1030
+	139	994
+	140	1131
+	141	1079
+	142	1116
+	143	1140
+	144	1151
+	145	1208
+	146	1210
+	147	1163
+	148	1242
+	149	1234
+	150	1197
+	151	1308
+	152	1214
+	153	1278
+	154	1261
+	155	1332
+	156	1285
+	157	1308
+	158	1300
+	159	1286
+	160	1242
+	161	1290
+	162	1364
+	163	1334
+	164	1289
+	165	1319
+	166	1320
+	167	1314
+	168	1300
+	169	1345
+	170	1311
+	171	1418
+	172	1295
+	173	1320
+	174	1330
+	175	1304
+	176	1324
+	177	1243
+	178	1278
+	179	1292
+	180	1228
+	181	1303
+	182	1257
+	183	1278
+	184	1223
+	185	1137
+	186	1264
+	187	1218
+	188	1210
+	189	1150
+	190	1062
+	191	892
+	192	419
+	193	183
+	194	109
+	195	59
+	196	21
+	197	9
+	198	2
-	20	70
-	21	236
-	22	242
-	23	208
-	24	114
-	25	71
-	26	111
-	27	72
-	28	45
-	29	41
-	30	20
-	31	33
-	32	35
-	33	17
-	34	27
-	35	24
-	36	23
-	37	21
-	38	10
-	39	20
-	40	15
-	41	23
-	42	18
-	43	19
-	44	17
-	45	21
-	46	33
-	47	19
-	48	29
-	49	13
-	50	29
-	51	22
-	52	25
-	53	13
-	54	22
-	55	19
-	56	30
-	57	25
-	58	19
-	59	22
-	60	18
-	61	29
-	62	19
-	63	13
-	64	24
-	65	18
-	66	21
-	67	22
-	68	21
-	69	27
-	70	34
-	71	28
-	72	24
-	73	28
-	74	37
-	75	26
-	76	37
-	77	32
-	78	37
-	79	33
-	80	37
-	81	37
-	82	38
-	83	51
-	84	42
-	85	38
-	86	38
-	87	44
-	88	43
-	89	58
-	90	68
-	91	60
-	92	83
-	93	62
-	94	74
-	95	87
-	96	92
-	97	114
-	98	165
-	99	194
-	100	384
-	101	583
-	102	1955
-	103	544
-	104	242
-	105	264
-	106	161
-	107	165
-	108	146
-	109	185
-	110	175
-	111	185
-	112	209
-	113	226
-	114	248
-	115	282
-	116	317
-	117	356
-	118	363
-	119	394
-	120	417
-	121	443
-	122	471
-	123	539
-	124	544
-	125	599
-	126	595
-	127	641
-	128	662
-	129	692
-	130	741
-	131	758
-	132	804
-	133	830
-	134	835
-	135	870
-	136	913
-	137	897
-	138	915
-	139	894
-	140	1020
-	141	1028
-	142	1036
-	143	971
-	144	1086
-	145	1089
-	146	1108
-	147	1137
-	148	1202
-	149	1174
-	150	1143
-	151	1183
-	152	1157
-	153	1161
-	154	1186
-	155	1203
-	156	1159
-	157	1184
-	158	1155
-	159	1136
-	160	1177
-	161	1185
-	162	1186
-	163	1245
-	164	1211
-	165	1202
-	166	1188
-	167	1254
-	168	1177
-	169	1183
-	170	1201
-	171	1234
-	172	1192
-	173	1221
-	174	1178
-	175	1189
-	176	1256
-	177	1184
-	178	1215
-	179	1136
-	180	1190
-	181	1165
-	182	1118
-	183	1162
-	184	1142
-	185	1130
-	186	1062
-	187	1054
-	188	1054
-	189	967
-	190	914
-	191	814
-	192	429
-	193	149
-	194	105
-	195	54
-	196	25
-	197	10
-	198	3
-	199	1
