# table produced by mapDamage version 2.0.0
# using mapped file pang105.realigned.baq.rmdup.remark.bam and /home/bio/database/GRCh37/hs37d5.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	4
+	31	4
+	32	3
+	33	4
+	34	7
+	35	11
+	36	4027
+	37	4059
+	38	4188
+	39	4075
+	40	3949
+	41	4002
+	42	3865
+	43	3861
+	44	3783
+	45	3734
+	46	3719
+	47	3697
+	48	3599
+	49	3481
+	50	3242
+	51	3143
+	52	3030
+	53	3069
+	54	2948
+	55	2874
+	56	2753
+	57	2661
+	58	2587
+	59	2432
+	60	2437
+	61	2224
+	62	2312
+	63	2214
+	64	2090
+	65	2102
+	66	2022
+	67	2029
+	68	1892
+	69	1789
+	70	1818
+	71	1701
+	72	1627
+	73	1525
+	74	1606
+	75	1473
+	76	1483
+	77	1368
+	78	1351
+	79	1337
+	80	1299
+	81	1175
+	82	1148
+	83	1133
+	84	1073
+	85	1120
+	86	993
+	87	984
+	88	1020
+	89	917
+	90	915
+	91	884
+	92	863
+	93	828
+	94	822
+	95	831
+	96	842
+	97	145
+	98	186
+	99	262
+	100	619
+	101	15785
+	102	105
+	103	30
+	104	10
+	105	10
+	106	1
+	107	1
-	30	3
-	31	4
-	32	3
-	33	3
-	34	9
-	35	13
-	36	4080
-	37	4099
-	38	4228
-	39	4110
-	40	4056
-	41	3833
-	42	3890
-	43	3864
-	44	3902
-	45	3872
-	46	3749
-	47	3645
-	48	3703
-	49	3405
-	50	3350
-	51	3220
-	52	3044
-	53	2939
-	54	2923
-	55	2906
-	56	2873
-	57	2683
-	58	2620
-	59	2522
-	60	2431
-	61	2335
-	62	2321
-	63	2267
-	64	2103
-	65	2087
-	66	2058
-	67	1965
-	68	1972
-	69	1897
-	70	1774
-	71	1656
-	72	1657
-	73	1517
-	74	1538
-	75	1487
-	76	1497
-	77	1370
-	78	1330
-	79	1376
-	80	1264
-	81	1256
-	82	1153
-	83	1187
-	84	1106
-	85	1093
-	86	1030
-	87	1010
-	88	913
-	89	943
-	90	907
-	91	900
-	92	810
-	93	855
-	94	815
-	95	819
-	96	788
-	97	146
-	98	177
-	99	265
-	100	631
-	101	15823
-	102	105
-	103	28
-	104	13
-	105	10
-	106	4
