pos	5pG>A
1	0.0171097348802409
2	0.00920543571322815
3	0.00607607338695659
4	0.00620682428238632
5	0.00181190019193858
6	0.00160974709248662
7	0.0017455896007428
8	0.00144674225956172
9	0.00161666430747912
10	0.00172794255152037
11	0.00148293517876378
12	0.00163967117945536
13	0.00165580124444972
14	0.00141360633295637
15	0.00155012311982674
16	0.00165489194965566
17	0.00120176356960644
18	0.00160940245396961
19	0.00151811046832971
20	0.00137449934230945
21	0.00153584997170803
22	0.00155465634103639
23	0.00130338445496807
24	0.00134918319719953
25	0.00144233585192995
