pos	5pG>A
1	0.549306930693069
2	0.321611312680249
3	0.206408961527867
4	0.146881287726358
5	0.106911542897702
6	0.0811177428106348
7	0.0636076504649939
8	0.0483787512935495
9	0.0427034007748601
10	0.0335335335335335
11	0.0266499582289056
12	0.0227039945373848
13	0.020743374820083
14	0.0191423555964223
15	0.0199294677273846
16	0.0176910299003322
17	0.0165607226497156
18	0.015475189234651
19	0.0158278201155682
20	0.0150720838794233
21	0.0142133638294396
22	0.0148432288192128
23	0.0150400523132254
24	0.0168950155501387
25	0.0159688896243588
