pos	5pG>A
1	0.00247766454161803
2	0.00228420939481888
3	0.00317059216172404
4	0.0030398468817867
5	0.00307485203942453
6	0.00300221246790738
7	0.00301244732634257
8	0.00301239241978919
9	0.0030350841626194
10	0.00284212564013821
11	0.00296950099472415
12	0.00288670493983328
13	0.00288104880749249
14	0.00294299196381817
15	0.00308064241663195
16	0.00301592125873799
17	0.00301750327163956
18	0.0028146160875372
19	0.00289470298592999
20	0.00278329671868572
21	0.00278408759974372
22	0.0026956303335806
23	0.00269800996188294
24	0.00298025544211022
25	0.00256993755809312
