pos	5pC>T
1	0.42891851364433
2	0.255185218566922
3	0.1702985546431
4	0.12485003441833
5	0.0931230873852431
6	0.0732734890091445
7	0.0568835710278057
8	0.0455666493650522
9	0.0378835836738348
10	0.032389107445207
11	0.0281240470248505
12	0.0256269546048385
13	0.0225905635935134
14	0.0208446297577423
15	0.0184304599511334
16	0.0177526397051499
17	0.0170432148388639
18	0.0164938883835678
19	0.0159071914797106
20	0.0155020249979337
21	0.0143994284196353
22	0.0140491721023583
23	0.0136543177291295
24	0.0134244243124682
25	0.0129226586756051
